imagem,classe,cod_endereco,lat_geodesica,long_geodesica,data
detect/data/CE10-227.jpg,"{""patch"": 3, ""crack"": 1}",CE10,-3.7084613,-38.568398,2022-12-16 14:40:18
detect/data/out-845CE010.jpg,"{""patch"": 1}",CE10,-3.6343553,-38.747753,2022-12-16 14:06:33
detect/data/CE10-221.jpg,"{""patch"": 1}",CE10,-3.7059472,-38.57502,2022-12-16 14:38:33
detect/data/out-314CE010.jpg,"{""patch"": 1}",CE10,-3.7146595,-38.657314,2022-12-16 14:23:30
detect/data/CE010-319.jpg,"{""patch"": 1}",CE10,-3.7084613,-38.568398,2022-12-16 14:40:18
detect/data/out-223CE010.jpg,"{""pothole"": 4, ""patch"": 1}",CE10,-3.7435193,-40.31315,2022-12-15 12:42:04
detect/data/CEout-585.jpg,"{""patch"": 1}",DESCONHECIDA,0.0,0.0,
detect/data/CEout-286.jpg,"{""pothole"": 1}",DESCONHECIDA,0.0,0.0,
detect/data/out-236CE010.jpg,"{""pothole"": 1}",CE10,-3.7026582,-38.58212,2022-12-16 14:37:08
detect/data/out-896CE010.jpg,"{""patch"": 1}",CE10,-3.721321,-38.6626,2022-12-16 14:21:50
detect/data/CE471-1509.jpg,"{""patch"": 1}",CE471,-3.648803,-40.340065,2022-12-15 12:25:18
detect/data/CEout-035.jpg,"{""pothole"": 1}",DESCONHECIDA,0.0,0.0,
detect/data/out-710CE010.jpg,"{""patch"": 2}",CE10,-3.6985848,-38.590736,2022-12-16 14:35:53
detect/data/CE10-276.jpg,"{""pothole"": 3, ""patch"": 2}",CE10,-3.692831,-38.616875,2022-12-16 14:32:40
detect/data/CE010-474.jpg,"{""patch"": 1}",CE10,-3.747174,-40.31012,2022-12-15 12:42:30
detect/data/CE471-1408.jpg,"{""patch"": 1}",CE471,-3.6933005,-40.379734,2022-12-15 12:12:03
detect/data/CE471-2206.jpg,"{""patch"": 1}",CE471,-3.651887,-40.37914,2022-12-15 12:19:08
detect/data/CE10-207.jpg,"{""crack"": 1}",CE10,-3.7955763,-40.27193,2022-12-15 12:48:08
detect/data/out-289CE010.jpg,"{""pothole"": 2}",CE10,-3.75106,-40.307392,2022-12-15 12:42:59
detect/data/CE010-110.jpg,"{""patch"": 1}",CE10,-3.7131772,-38.55051,2022-12-16 14:45:58
detect/data/CE471-1267.jpg,"{""pothole"": 1}",CE471,-3.6900043,-40.384666,2022-12-15 12:12:48
detect/data/CEout-463.jpg,"{""pothole"": 1}",DESCONHECIDA,0.0,0.0,
detect/data/CE471-0371.jpg,"{""patch"": 1}",CE471,-3.6671462,-40.398205,2022-12-15 12:15:58
detect/data/out-054CE010.jpg,"{""patch"": 1}",CE10,-3.6317277,-38.749718,2022-12-16 14:06:03
detect/data/CE471-1825.jpg,"{""patch"": 2}",CE471,-3.6651776,-40.3199,2022-12-15 12:28:23
detect/data/CE10-282.jpg,"{""pothole"": 2, ""patch"": 1}",CE10,-3.6427088,-38.759605,2022-12-16 14:08:43
detect/data/CE471-0168.jpg,"{""patch"": 1}",CE471,-3.672493,-40.395054,2022-12-15 12:15:13
detect/data/CE10-248.jpg,"{""crack"": 2}",CE10,-3.721231,-38.6605,2022-12-16 14:22:05
detect/data/out-796CE010.jpg,"{""pothole"": 1}",CE10,-3.6928368,-38.61232,2022-12-16 14:33:10
detect/data/CE10out-171.jpg,"{""patch"": 1}",CE10,-3.710627,-38.56094,2022-12-16 14:41:53
detect/data/CE10out-032.jpg,"{""crack"": 1}",CE10,-3.7612216,-40.293873,2022-12-15 12:44:35
detect/data/out-936CE010.jpg,"{""pothole"": 1}",CE10,-3.6944656,-38.626286,2022-12-16 14:31:25
detect/data/CE010out-099.jpg,"{""crack"": 1}",CE10,-3.6930702,-38.618313,2022-12-16 14:32:30
detect/data/out-101CE10.jpg,"{""patch"": 2}",CE10,-3.7193787,-38.66944,2022-12-16 14:21:05
detect/data/CE471-1798.jpg,"{""patch"": 2}",CE471,-3.648803,-40.340065,2022-12-15 12:25:18
detect/data/out-816CE010.jpg,"{""crack"": 2, ""pothole"": 1}",CE10,-3.7140439,-38.547787,2022-12-16 14:46:28
